epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,2732.79,1.05877,0.58122,1.15991,0.84098,0.85789,0.92788,0.59843,1.36893,0.7193,1.3906,2.05227e-05,2.05227e-05,2.05227e-05
135,2753.13,1.05171,0.58041,1.15231,0.84823,0.8533,0.92746,0.59855,1.37043,0.71452,1.39196,1.87668e-05,1.87668e-05,1.87668e-05
136,2773.38,1.0581,0.58447,1.14596,0.81187,0.89885,0.9276,0.59932,1.36766,0.70968,1.38584,1.71135e-05,1.71135e-05,1.71135e-05
137,2793.72,1.04693,0.57977,1.14693,0.82866,0.87684,0.92856,0.6015,1.37102,0.71007,1.39597,1.55634e-05,1.55634e-05,1.55634e-05
138,2814.16,1.05264,0.59419,1.15148,0.81415,0.89504,0.92725,0.60045,1.36657,0.71611,1.38558,1.41173e-05,1.41173e-05,1.41173e-05
139,2834.55,1.03802,0.57007,1.14505,0.81095,0.89885,0.92723,0.59646,1.3682,0.71826,1.39036,1.27757e-05,1.27757e-05,1.27757e-05
140,2854.99,1.03376,0.58027,1.14186,0.81815,0.87595,0.92405,0.59815,1.37029,0.71952,1.39314,1.15392e-05,1.15392e-05,1.15392e-05
141,2875.83,1.02427,0.5526,1.14677,0.83088,0.86261,0.91386,0.57757,1.38952,0.74128,1.4217,1.04085e-05,1.04085e-05,1.04085e-05
142,2896.12,1.01548,0.53031,1.14296,0.82971,0.85496,0.91662,0.58129,1.38425,0.73474,1.41895,9.38391e-06,9.38391e-06,9.38391e-06
143,2916.36,1.00612,0.53062,1.14552,0.82582,0.85956,0.91732,0.58161,1.3821,0.73593,1.41522,8.46598e-06,8.46598e-06,8.46598e-06
144,2936.61,0.99963,0.5218,1.14181,0.8282,0.85687,0.91864,0.58294,1.383,0.7349,1.41319,7.6551e-06,7.6551e-06,7.6551e-06
145,2956.9,1.00505,0.51788,1.14043,0.80851,0.8874,0.91929,0.58472,1.38059,0.73465,1.40823,6.95161e-06,6.95161e-06,6.95161e-06
146,2977.09,1.0028,0.5191,1.14604,0.84404,0.8416,0.91856,0.58565,1.38129,0.7341,1.40998,6.35583e-06,6.35583e-06,6.35583e-06
147,2997.19,0.99874,0.51571,1.13801,0.7981,0.89695,0.91908,0.5876,1.38109,0.73565,1.40923,5.86802e-06,5.86802e-06,5.86802e-06
148,3017.24,1.00819,0.52397,1.14734,0.7995,0.89313,0.92088,0.58592,1.38046,0.73247,1.40736,5.48838e-06,5.48838e-06,5.48838e-06
149,3037.42,0.9968,0.52579,1.13837,0.83466,0.85687,0.92122,0.58745,1.38082,0.72845,1.40929,5.2171e-06,5.2171e-06,5.2171e-06
150,3057.9,1.00171,0.51965,1.14264,0.84169,0.85305,0.92157,0.58621,1.3817,0.72726,1.40723,5.05428e-06,5.05428e-06,5.05428e-06
